Year|Rank|Song Title|Artist
2014|1|Happy|Pharrell Williams
2014|2|Dark Horse|Katy Perry Featuring Juicy J
2014|3|All Of Me|John Legend
2014|4|Fancy|Iggy Azalea Featuring Charli XCX
2014|5|Counting Stars|OneRepublic
2014|6|Talk Dirty|Jason Derulo Featuring 2 Chainz
2014|7|Rude|MAGIC!
2014|8|All About That Bass|Meghan Trainor
2014|9|Problem|Ariana Grande Featuring Iggy Azalea
2014|10|Stay With Me|Sam Smith
2014|11|Timber|Pitbull Featuring Ke$ha
2014|12|Pompeii|Bastille
2014|13|Shake It Off|Taylor Swift
2014|14|Am I Wrong|Nico & Vinz
2014|15|Turn Down For What|DJ Snake & Lil Jon
2014|16|The Monster|Eminem Featuring Rihanna
2014|17|Say Something|A Great Big World & Christina Aguilera
2014|18|Team|Lorde
2014|19|Let Her Go|Passenger
2014|20|Royals|Lorde
2014|21|Let It Go|Idina Menzel
2014|22|Wake Me Up!|Avicii
2014|23|Demons|Imagine Dragons
2014|24|Story Of My Life|One Direction
2014|25|Chandelier|Sia
2014|26|Black Widow|Iggy Azalea Featuring Rita Ora
2014|27|Bang Bang|Jessie J, Ariana Grande & Nicki Minaj
2014|28|Latch|Disclosure Featuring Sam Smith
2014|29|Maps|Maroon 5
2014|30|Loyal|Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
2014|31|Best Day Of My Life|American Authors
2014|32|Habits (Stay High)|Tove Lo
2014|33|Summer|Calvin Harris
2014|34|Boom Clap|Charli xcx
2014|35|Drunk In Love|Beyonce Featuring Jay Z
2014|36|Anaconda|Nicki Minaj
2014|37|Break Free|Ariana Grande Featuring Zedd
2014|38|Bailando|Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
2014|39|Burn|Ellie Goulding
2014|40|Wiggle|Jason Derulo Featuring Snoop Dogg
2014|41|Rather Be|Clean Bandit Featuring Jess Glynne
2014|42|Don't Tell 'Em|Jeremih Featuring YG
2014|43|Show Me|Kid Ink Featuring Chris Brown
2014|44|Wrecking Ball|Miley Cyrus
2014|45|Not A Bad Thing|Justin Timberlake
2014|46|Roar|Katy Perry
2014|47|Ain't It Fun|Paramore
2014|48|The Man|Aloe Blacc
2014|49|This Is How We Roll|Florida Georgia Line Featuring Luke Bryan
2014|50|Classic|MKTO
2014|51|A Sky Full Of Stars|Coldplay
2014|52|Don't|Ed Sheeran
2014|53|Na Na|Trey Songz
2014|54|Hot Boy|Bobby Shmurda
2014|55|Hold On, We're Going Home|Drake Featuring Majid Jordan
2014|56|Sing|Ed Sheeran
2014|57|Radioactive|Imagine Dragons
2014|58|My Hitta|YG Featuring Jeezy & Rich Homie Quan
2014|59|Cool Kids|Echosmith
2014|60|Hey Brother|Avicii
2014|61|Trumpets|Jason Derulo
2014|62|Animals|Maroon 5
2014|63|Burnin' It Down|Jason Aldean
2014|64|Play It Again|Luke Bryan
2014|65|2 On|Tinashe Featuring ScHoolboy Q
2014|66|Dirt|Florida Georgia Line
2014|67|Love Runs Out|OneRepublic
2014|68|Bottoms Up|Brantley Gilbert
2014|69|Shower|Becky G
2014|70|Me And My Broken Heart|Rixton
2014|71|Animals|Martin Garrix
2014|72|Lifestyle|Rich Gang Featuring Young Thug & Rich Homie Quan
2014|73|American Kids|Kenny Chesney
2014|74|Brave|Sara Bareilles
2014|75|Sweater Weather|The Neighbourhood
2014|76|Leave The Night On|Sam Hunt
2014|77|New Flame|Chris Brown Featuring Usher & Rick Ross
2014|78|Love Never Felt So Good|Michael Jackson & Justin Timberlake
2014|79|Drunk On A Plane|Dierks Bentley
2014|80|Birthday|Katy Perry
2014|81|Bartender|Lady Antebellum
2014|82|La La La|Naughty Boy Featuring Sam Smith
2014|83|Blurred Lines|Robin Thicke Featuring T.I. + Pharrell
2014|84|Do What U Want|Lady Gaga Featuring R. Kelly
2014|85|Can't Remember To Forget You|Shakira Featuring Rihanna
2014|86|Amnesia|5 Seconds Of Summer
2014|87|No Mediocre|T.I. Featuring Iggy Azalea
2014|88|Come With Me Now|KONGOS
2014|89|Believe Me|Lil Wayne Featuring Drake
2014|90|23|Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J
2014|91|Beachin'|Jake Owen
2014|92|White Walls|Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
2014|93|She Looks So Perfect|5 Seconds Of Summer
2014|94|Stay The Night|Zedd Featuring Hayley Williams
2014|95|Partition|Beyonce
2014|96|Studio|ScHoolboy Q Featuring BJ The Chicago Kid
2014|97|0 To 100 / The Catch Up|Drake
2014|98|I Don't Dance|Lee Brice
2014|99|Somethin' Bad|Miranda Lambert Duet With Carrie Underwood
2014|100|Adore You|Miley Cyrus
2015|1|Uptown Funk!|Mark Ronson Featuring Bruno Mars
2015|2|Thinking Out Loud|Ed Sheeran
2015|3|See You Again|Wiz Khalifa Featuring Charlie Puth
2015|4|Trap Queen|Fetty Wap
2015|5|Sugar|Maroon 5
2015|6|Shut Up And Dance|WALK THE MOON
2015|7|Blank Space|Taylor Swift
2015|8|Watch Me|Silento
2015|9|Earned It (Fifty Shades Of Grey)|The Weeknd
2015|10|The Hills|The Weeknd
2015|11|Cheerleader|OMI
2015|12|Can't Feel My Face|The Weeknd
2015|13|Love Me Like You Do|Ellie Goulding
2015|14|Take Me To Church|Hozier
2015|15|Bad Blood|Taylor Swift Featuring Kendrick Lamar
2015|16|Lean On|Major Lazer X DJ Snake Featuring MO
2015|17|Want To Want Me|Jason Derulo
2015|18|Shake It Off|Taylor Swift
2015|19|Where Are U Now|Skrillex & Diplo With Justin Bieber
2015|20|Fight Song|Rachel Platten
2015|21|679|Fetty Wap Featuring Remy Boyz
2015|22|Lips Are Movin|Meghan Trainor
2015|23|Worth It|Fifth Harmony Featuring Kid Ink
2015|24|Post To Be|Omarion Featuring Chris Brown & Jhene Aiko
2015|25|Honey, I'm Good.|Andy Grammer
2015|26|I'm Not The Only One|Sam Smith
2015|27|Good For You|Selena Gomez Featuring A$AP Rocky
2015|28|All About That Bass|Meghan Trainor
2015|29|Style|Taylor Swift
2015|30|Hotline Bling|Drake
2015|31|Hey Mama|David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
2015|32|G.D.F.R.|Flo Rida Featuring Sage The Gemini & Lookas
2015|33|What Do You Mean?|Justin Bieber
2015|34|Photograph|Ed Sheeran
2015|35|Hello|Adele
2015|36|Stitches|Shawn Mendes
2015|37|Talking Body|Tove Lo
2015|38|Jealous|Nick Jonas
2015|39|Time Of Our Lives|Pitbull & Ne-Yo
2015|40|Locked Away|R. City Featuring Adam Levine
2015|41|Somebody|Natalie La Rose Featuring Jeremih
2015|42|FourFiveSeconds|Rihanna & Kanye West & Paul McCartney
2015|43|Centuries|Fall Out Boy
2015|44|My Way|Fetty Wap Featuring Monty
2015|45|Take Your Time|Sam Hunt
2015|46|Animals|Maroon 5
2015|47|I Don't F**k With You|Big Sean Featuring E-40
2015|48|B**** Better Have My Money|Rihanna
2015|49|Flex (Ooh Ooh Ooh)|Rich Homie Quan
2015|50|Nasty Freestyle|T-Wayne
2015|51|Only|Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown
2015|52|Elastic Heart|Sia
2015|53|Cool For The Summer|Demi Lovato
2015|54|Renegades|X Ambassadors
2015|55|I Don't Mind|Usher Featuring Juicy J
2015|56|Love Me Harder|Ariana Grande & The Weeknd
2015|57|Wildest Dreams|Taylor Swift
2015|58|Stay With Me|Sam Smith
2015|59|You Know You Like It|DJ Snake & AlunaGeorge
2015|60|Uma Thurman|Fall Out Boy
2015|61|7/11|Beyonce
2015|62|The Heart Wants What It Wants|Selena Gomez
2015|63|Girl Crush|Little Big Town
2015|64|Slow Motion|Trey Songz
2015|65|Drag Me Down|One Direction
2015|66|Truffle Butter|Nicki Minaj Featuring Drake & Lil Wayne
2015|67|One Last Time|Ariana Grande
2015|68|Chains|Nick Jonas
2015|69|All Eyes On You|Meek Mill Featuring Chris Brown & Nicki Minaj
2015|70|No Type|Rae Sremmurd
2015|71|Riptide|Vance Joy
2015|72|Classic Man|Jidenna Featuring Roman GianArthur
2015|73|Ex's & Oh's|Elle King
2015|74|Dear Future Husband|Meghan Trainor
2015|75|Marvin Gaye|Charlie Puth Featuring Meghan Trainor
2015|76|Like I'm Gonna Lose You|Meghan Trainor Featuring John Legend
2015|77|Habits (Stay High)|Tove Lo
2015|78|The Hanging Tree|James Newton Howard Featuring Jennifer Lawrence
2015|79|CoCo|O.T. Genasis
2015|80|Bang Bang|Jessie J, Ariana Grande & Nicki Minaj
2015|81|Lay Me Down|Sam Smith
2015|82|Tuesday|I LOVE MAKONNEN Featuring Drake
2015|83|Hit The Quan|iLoveMemphis
2015|84|Downtown|Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
2015|85|House Party|Sam Hunt
2015|86|Ayo|Chris Brown & Tyga
2015|87|Kick The Dust Up|Luke Bryan
2015|88|Blessings|Big Sean Featuring Drake
2015|89|Budapest|George Ezra
2015|90|Chandelier|Sia
2015|91|Heartbeat Song|Kelly Clarkson
2015|92|Don't|Ed Sheeran
2015|93|Ghost|Ella Henderson
2015|94|Here|Alessia Cara
2015|95|Waves|Mr. Probz
2015|96|El Perdon (Forgiveness)|Nicky Jam & Enrique Iglesias
2015|97|She Knows|Ne-Yo Featuring Juicy J
2015|98|Night Changes|One Direction
2015|99|Back To Back|Drake
2015|100|How Deep Is Your Love|Calvin Harris & Disciples
2016|1|Love Yourself|Justin Bieber
2016|2|Sorry|Justin Bieber
2016|3|One Dance|Drake Featuring WizKid & Kyla
2016|4|Work|Rihanna Featuring Drake
2016|5|Stressed Out|Twenty One Pilots
2016|6|Panda|Desiigner
2016|7|Hello|Adele
2016|8|Don't Let Me Down|The Chainsmokers Featuring Daya
2016|9|Can't Stop The Feeling!|Justin Timberlake
2016|10|Closer|The Chainsmokers Featuring Halsey
2016|11|Cheap Thrills|Sia Featuring Sean Paul
2016|12|7 Years|Lukas Graham
2016|13|Needed Me|Rihanna
2016|14|My House|Flo Rida
2016|15|I Took A Pill In Ibiza|Mike Posner
2016|16|Work From Home|Fifth Harmony Featuring Ty Dolla $ign
2016|17|This Is What You Came For|Calvin Harris Featuring Rihanna
2016|18|Cake By The Ocean|DNCE
2016|19|Me, Myself & I|G-Eazy x Bebe Rexha
2016|20|Ride|Twenty One Pilots
